State,City,Component,User,Building Type,Size Lower,Size Upper,Coefficient,Constant
Niedersachsen,Braunschweig,PV,None,None,0,0.25,0,0
Niedersachsen,Braunschweig,PV,None,None,0.25,0.4,0,250
Niedersachsen,Braunschweig,PV,None,None,0.4,0.6,0,400
Niedersachsen,Braunschweig,PV,None,None,3,20,200,0
Niedersachsen,Braunschweig,PV,None,None,20,inf,0,5400
Niedersachsen,Braunschweig,SolarThermalCollector,None,None,0,inf,0,500
Niedersachsen,Braunschweig,SolarThermalCollector,None,None,0,inf,0,1000
Niedersachsen,Braunschweig,HeatPump,None,None,0,inf,0,500
Niedersachsen,Braunschweig,HeatPump,None,None,0,inf,0,1000
Niedersachsen,Braunschweig,HeatPump,None,None,0,inf,0,4000
Niedersachsen,Braunschweig,HeatPump,None,None,0,inf,0,4000
Niedersachsen,Wolfsburg,PV,None,None,0,0.25,0,0
Niedersachsen,Wolfsburg,PV,None,None,0.25,0.4,0,150
Niedersachsen,Wolfsburg,PV,None,None,0.4,0.6,0,200
Niedersachsen,Wolfsburg,PV,None,None,1,10,0,700
Niedersachsen,Wolfsburg,PV,None,None,10,15,0,1100
Niedersachsen,Wolfsburg,PV,None,None,15,inf,0,1500
Niedersachsen,Wolfsburg,Battery,None,None,0,3,0,0
Niedersachsen,Wolfsburg,Battery,None,None,3,inf,0,500
Niedersachsen,Oldenburg,PV,None,None,0,3,0,0
Niedersachsen,Oldenburg,PV,None,None,3,10,150,0
Niedersachsen,Oldenburg,PV,None,None,11,20,125,1500
Niedersachsen,Oldenburg,PV,None,None,21,35,100,2750
Niedersachsen,Oldenburg,PV,None,None,35,inf,0,4250
Niedersachsen,Delmenhorst,PV,None,None,0,0.6,0,200
Nordrhein-Westfalen,Koeln,PV,None,None,0,0.6,0,200
Nordrhein-Westfalen,Koeln,PV,None,None,0.6,50,250,0
Nordrhein-Westfalen,Koeln,PV,None,None,50,inf,0,12500
Nordrhein-Westfalen,Koeln,Battery,None,None,0,50,150,0
Nordrhein-Westfalen,Koeln,Battery,None,None,50,inf,0,7500
Nordrhein-Westfalen,Koeln,CHP,None,None,0,4,1500,0
Nordrhein-Westfalen,Koeln,CHP,None,None,4,6,1000,6000
Nordrhein-Westfalen,Koeln,CHP,None,None,6,12,300,8000
Nordrhein-Westfalen,Koeln,CHP,None,None,12,25,150,9800
Nordrhein-Westfalen,Koeln,CHP,None,None,25,50,75,11750
Nordrhein-Westfalen,Koeln,CHP,None,None,50,inf,0,13625
Nordrhein-Westfalen,Duesseldorf,PV,None,None,0,0.6,0,600
Nordrhein-Westfalen,Duesseldorf,PV,None,None,0.6,10,300,0
Nordrhein-Westfalen,Duesseldorf,PV,None,None,10,45,200,3000
Nordrhein-Westfalen,Duesseldorf,PV,None,None,45,inf,0,10000
Nordrhein-Westfalen,Duesseldorf,Battery,None,None,0,inf,250,0
Nordrhein-Westfalen,Duesseldorf,HeatPump,None,None,0,25,0,3500
Nordrhein-Westfalen,Duesseldorf,HeatPump,None,None,25,50,0,4000
Nordrhein-Westfalen,Duesseldorf,HeatPump,None,None,50,inf,0,4500
Nordrhein-Westfalen,Duesseldorf,SolarThermalCollector,None,None,0,4,0,0
Nordrhein-Westfalen,Duesseldorf,SolarThermalCollector,None,None,4,20,150,0
Nordrhein-Westfalen,Duesseldorf,SolarThermalCollector,None,None,20,inf,100,0
Nordrhein-Westfalen,Duesseldorf,SolarThermalCollector,None,None,0,4,0,0
Nordrhein-Westfalen,Duesseldorf,SolarThermalCollector,None,None,4,20,200,0
Nordrhein-Westfalen,Duesseldorf,SolarThermalCollector,None,None,20,inf,120,0
Nordrhein-Westfalen,Bonn,PV,None,Wohngebaeude,0,0.6,300,0
Nordrhein-Westfalen,Bonn,PV,None,Wohngebaeude,0.6,250,100,0
Nordrhein-Westfalen,Bonn,PV,None,Wohngebaeude,250,inf,0,25000
