name,year,level,type,apply,user,building,mode,Invest Coefficient,Invest Constant,Size Lower,Size Upper,Size Coefficient,Size Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
Schleswig-Holstein_Subsidy,2023,state,purchase,HeatPumpBrineWater,basic,all,,0,2000,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,HeatPumpAirWater,premium_Exchange premium for oil,all,,0.25,0,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,HeatPumpAirWater,premium_Exchange premium for oil,all,,0,2000,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,HeatPumpBrineWater,premium_Exchange premium for oil,all,,0.2,0,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,HeatPumpBrineWater,premium_Exchange premium for oil,all,,0,2000,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,SolarThermalCollectorFlatPlate,basic,all,,0.35,0,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,SolarThermalCollectorFlatPlate,basic,all,,0,900,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,SolarThermalCollectorTube,basic,all,,0.35,0,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,SolarThermalCollectorTube,basic,all,,0,900,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,SolarThermalCollectorFlatPlate,premium_Exchange premium for oil,all,,0.25,0,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,SolarThermalCollectorFlatPlate,premium_Exchange premium for oil,all,,0,900,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,SolarThermalCollectorTube,premium_Exchange premium for oil,all,,0.25,0,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,SolarThermalCollectorTube,premium_Exchange premium for oil,all,,0,900,,,,,,,,
Stuttgart_Subsidy,2023,city,purchase,PV,basic,all,,,,0,142.86,350,0,,,,
Stuttgart_Subsidy,2023,city,purchase,PV,basic,all,,,,142.86,inf,0,50000,,,,
Stuttgart_Subsidy,2023,city,purchase,Battery,basic,all,,,,0,66.67,300,0,,,,
Stuttgart_Subsidy,2023,city,purchase,Battery,basic,all,,,,66.67,inf,0,20000,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPump,basic,all,,,,0,30,0,2500,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPump,basic,all,,,,30,40,0,3750,,,,
