name,year,level,apply,who,building,Invest Lower,Invest Upper,Invest Coefficient,Invest Constant,Size Lower,Size Upper,Size Coefficient,Size Constant,Area Lower,Area Upper,Area Coefficient,Area Constant,Demand Coefficient,Demand Constant
Muenhen_Subsidy,2023,city,PV,basic,NWG,,,,,100,inf,94,18900,,,,,,
Muenhen_Subsidy,2023,city,SolarThermalCollector,basic,EFH;ZFH;MFH,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,EFH;ZFH;MFH,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,SolarThermalCollectorTube,basic,EFH;ZFH;MFH,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,SolarThermalCollector,basic,NWG,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,NWG,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,SolarThermalCollectorTube,basic,NWG,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,HeatPump,basic,EFH;ZFH;MFH,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,HeatPumpAirWater,basic,EFH;ZFH;MFH,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,HeatPumpBrineWater,basic,EFH;ZFH;MFH,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,HeatPump,basic,NWG,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,HeatPumpAirWater,basic,NWG,0,inf,0.15,0,,,,,,,,,,
Muenhen_Subsidy,2023,city,HeatPumpBrineWater,basic,NWG,0,inf,0.15,0,,,,,,,,,,
Augsburg_Subsidy,2023,city,PV,basic,all,,,,,0,0.25,0,0,,,,,,
Augsburg_Subsidy,2023,city,PV,basic,all,,,,,0.25,0.45,0,100,,,,,,
Augsburg_Subsidy,2023,city,PV,basic,all,,,,,0.45,0.6,0,200,,,,,,
Augsburg_Subsidy,2023,city,PV,basic,all,,,,,0.6,1,0,0,,,,,,
Augsburg_Subsidy,2023,city,PV,basic,all,,,,,1,3,0,500,,,,,,
Augsburg_Subsidy,2023,city,PV,basic,all,,,,,3,inf,0,1000,,,,,,
Augsburg_Subsidy,2023,city,SolarThermalCollector,basic,all,,,,,,,,,0,3,0,0,,
Augsburg_Subsidy,2023,city,SolarThermalCollector,basic,all,,,,,,,,,3,inf,0,500,,
Augsburg_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,,0,3,0,0,,
Augsburg_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,,3,inf,0,500,,
Augsburg_Subsidy,2023,city,SolarThermalCollectorTube,basic,all,,,,,,,,,0,0,0,0,,
Augsburg_Subsidy,2023,city,SolarThermalCollectorTube,basic,all,,,,,,,,,3,inf,0,500,,
Regensburg_Subsidy,2023,city,PV,basic,all,,,,,0,0.6,0,150,,,,,,
Regensburg_Subsidy,2023,city,PV,basic,all,,,,,0.6,15,100,0,,,,,,
Regensburg_Subsidy,2023,city,PV,basic,all,,,,,15,inf,0,1500,,,,,,
Erlangen_Subsidy,2023,city,PV,basic,all,,,,,0,1,0,0,,,,,,
Erlangen_Subsidy,2023,city,PV,basic,all,,,,,1,30,150,0,,,,,,
Erlangen_Subsidy,2023,city,PV,basic,all,,,,,30,100,75,4500,,,,,,
Erlangen_Subsidy,2023,city,PV,basic,all,,,,,100,inf,0,12000,,,,,,
Erlangen_Subsidy,2023,city,Battery,basic,all,,,,,0,7,150,0,,,,,,
Erlangen_Subsidy,2023,city,Battery,basic,all,,,,,7,inf,0,1050,,,,,,
Erlangen_Subsidy,2023,city,SolarThermalCollector,basic,all,,,,,,,,,0,14,70,0,,
Erlangen_Subsidy,2023,city,SolarThermalCollector,basic,all,,,,,,,,,14,inf,0,980,,
Erlangen_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,,0,14,70,0,,
Erlangen_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,,14,inf,0,980,,
Erlangen_Subsidy,2023,city,SolarThermalCollectorTube,basic,all,,,,,,,,,0,14,70,0,,
Erlangen_Subsidy,2023,city,SolarThermalCollectorTube,basic,all,,,,,,,,,14,inf,0,980,,
Erlangen_Subsidy,2023,city,HeatPumpAirWater,basic,all,0,5000,0.2,0,,,,,,,,,,
Erlangen_Subsidy,2023,city,HeatPumpAirWater,basic,all,5000,inf,0,1000,,,,,,,,,,
Erlangen_Subsidy,2023,city,HeatPumpBrineWater,basic,all,0,35000,0.2,0,,,,,,,,,,
Erlangen_Subsidy,2023,city,HeatPumpBrineWater,basic,all,35000,inf,0,7000,,,,,,,,,,
Wuerzburg_Subsidy,2023,city,PV,basic,all,,,,,0,0.6,0,200,,,,,,
Wuerzburg_Subsidy,2023,city,PV,basic,all,,,,,0.6,10,150,0,,,,,,
Wuerzburg_Subsidy,2023,city,PV,basic,all,,,,,10,inf,0,1500,,,,,,
Schweinfurt_Subsidy,2023,city,PV,basic,all,,,,,0,10,100,0,,,,,,
Schweinfurt_Subsidy,2023,city,PV,basic,all,,,,,10,inf,0,1000,,,,,,
Schweinfurt_Subsidy,2023,city,Battery,basic,all,,,,,0,3,0,0,,,,,,
Schweinfurt_Subsidy,2023,city,Battery,basic,all,,,,,3,7,100,0,,,,,,
Schweinfurt_Subsidy,2023,city,Battery,basic,all,,,,,7,inf,0,700,,,,,,
Fuerth_Subsidy,2023,city,CHP,basic,all,,,,,0,inf,0,1000,,,,,,
Fuerth_Subsidy,2023,city,SolarThermalCollector,basic,all,,,,,,,,,0,inf,50,0,,
Fuerth_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,,0,inf,50,0,,
Fuerth_Subsidy,2023,city,SolarThermalCollectorTube,basic,all,,,,,,,,,0,inf,50,0,,
Fuerth_Subsidy,2023,city,PV,basic,all,,,,,0,0.6,0,100,,,,,,
Fuerth_Subsidy,2023,city,PV,basic,all,,,,,0.6,30,50,0,,,,,,
Fuerth_Subsidy,2023,city,PV,basic,all,,,,,30,inf,0,1500,,,,,,
Fuerth_Subsidy,2023,city,Battery,basic,all,,,,,0,inf,0,500,,,,,,
Fuerth_Subsidy,2023,city,HeatPump,basic,all,,,,,0,inf,0,1000,,,,,,
Fuerth_Subsidy,2023,city,HeatPumpAirWater,basic,all,,,,,0,inf,0,1000,,,,,,
Fuerth_Subsidy,2023,city,HeatPumpBrineWater,basic,all,,,,,0,inf,0,1000,,,,,,
Coburg_Subsidy,2023,city,PV,basic,all,0,44444.44444,0.45,0,,,,,,,,,,
Coburg_Subsidy,2023,city,PV,basic,all,44444.44444,inf,0,20000,,,,,,,,,,
Coburg_Subsidy,2023,city,Battery,basic,all,,,,,0,5,0,0,,,,,,
Coburg_Subsidy,2023,city,Battery,basic,all,,,,,5,30,75,500,,,,,,
Coburg_Subsidy,2023,city,Battery,basic,all,,,,,30,inf,0,2750,,,,,,
Weiden in der Oberpfalz_Subsidy,2023,city,PV,basic,all,,,,,0,0.6,0,100,,,,,,
Weiden in der Oberpfalz_Subsidy,2023,city,PV,basic,all,,,,,0.6,inf,0,0,,,,,,
Berlin_Subsidy,2023,city,Battery,basic,EFH;ZFH;MFH,,,,,0,50,300,0,,,,,,
Berlin_Subsidy,2023,city,Battery,basic,EFH;ZFH;MFH,,,,,50,inf,0,15000,,,,,,
Berlin_Subsidy,2023,city,Battery,basic,NWG,,,,,0,50,300,0,,,,,,
Berlin_Subsidy,2023,city,Battery,basic,NWG,,,,,50,inf,0,15000,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollector,basic,EFH;ZFH;MFH,0,75000,0.2,0,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollector,basic,EFH;ZFH;MFH,75000,inf,0,15000,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,EFH;ZFH;MFH,0,75000,0.2,0,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,EFH;ZFH;MFH,75000,inf,0,15000,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollectorTube,basic,EFH;ZFH;MFH,0,75000,0.2,0,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollectorTube,basic,EFH;ZFH;MFH,75000,inf,0,15000,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollector,basic,NWG,0,300000,0.2,0,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollector,basic,NWG,300000,inf,0,60000,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,NWG,0,300000,0.2,0,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,NWG,300000,inf,0,60000,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollectorTube,basic,NWG,0,300000,0.2,0,,,,,,,,,,
Berlin_Subsidy,2023,city,SolarThermalCollectorTube,basic,NWG,300000,inf,0,60000,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPump,basic,EFH;ZFH;MFH,0,60000,0.25,0,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPump,basic,EFH;ZFH;MFH,60000,inf,0,15000,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPumpAirWater,basic,EFH;ZFH;MFH,0,60000,0.25,0,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPumpAirWater,basic,EFH;ZFH;MFH,60000,inf,0,15000,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPumpBrineWater,basic,EFH;ZFH;MFH,0,60000,0.25,0,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPumpBrineWater,basic,EFH;ZFH;MFH,60000,inf,0,15000,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPump,basic,NWG,0,240000,0.25,0,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPump,basic,NWG,240000,inf,0,60000,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPumpAirWater,basic,NWG,0,240000,0.25,0,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPumpAirWater,basic,NWG,240000,inf,0,60000,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPumpBrineWater,basic,NWG,0,240000,0.25,0,,,,,,,,,,
Berlin_Subsidy,2023,city,HeatPumpBrineWater,basic,NWG,240000,inf,0,60000,,,,,,,,,,
Bremen_Subsidy,2023,city,CHP,basic,all,0,inf,0.4,0,,,,,,,,,,
Potsdam_Subsidy,2023,city,PV,basic,EFH;ZFH;MFH,,,,,0,0.6,0,250,,,,,,
Potsdam_Subsidy,2023,city,PV,basic,EFH;ZFH;MFH,,,,,0.6,6,200,0,,,,,,
Potsdam_Subsidy,2023,city,PV,basic,EFH;ZFH;MFH,,,,,6,inf,0,1200,,,,,,
Potsdam_Subsidy,2023,city,PV,basic,NWG,,,,,0,0.6,0,250,,,,,,
Potsdam_Subsidy,2023,city,PV,basic,NWG,,,,,0.6,6,200,0,,,,,,
Potsdam_Subsidy,2023,city,PV,basic,NWG,,,,,6,inf,0,1200,,,,,,
