State,City,Component,User,Building Type,Size Lower,Size Upper,Size Coefficient,Size Constant,Invest Lower,Invest Upper,Invest Coefficient,Invest Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
Bayern,Muenchen,HeatPumpBrineWater,None,EFH;ZFH;MFH,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,HeatPump,None,NWG,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,HeatPumpAirWater,None,NWG,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,HeatPumpBrineWater,None,NWG,,,,,0,inf,0.15,0,,,,
Bayern,Augsburg,PV,None,Allgemein,0,0.25,0,0,,,,,,,,
Bayern,Augsburg,PV,None,Allgemein,0.25,0.45,0,100,,,,,,,,
Bayern,Augsburg,PV,None,Allgemein,0.45,0.6,0,200,,,,,,,,
Bayern,Augsburg,PV,None,Allgemein,0.6,1,0,0,,,,,,,,
Bayern,Augsburg,PV,None,Allgemein,1,3,0,500,,,,,,,,
Bayern,Augsburg,PV,None,Allgemein,3,inf,0,1000,,,,,,,,
Bayern,Augsburg,SolarThermalCollector,None,Allgemein,,,,,,,,,0,3,0,0
Bayern,Augsburg,SolarThermalCollector,None,Allgemein,,,,,,,,,3,inf,0,500
Bayern,Augsburg,SolarThermalCollectorFlatPlate,None,Allgemein,,,,,,,,,0,3,0,0
Bayern,Augsburg,SolarThermalCollectorFlatPlate,None,Allgemein,,,,,,,,,3,inf,0,500
Bayern,Augsburg,SolarThermalCollectorTube,None,Allgemein,,,,,,,,,0,0,0,0
Bayern,Augsburg,SolarThermalCollectorTube,None,Allgemein,,,,,,,,,3,inf,0,500
Bayern,Regensburg,PV,None,Allgemein,0,0.6,0,150,,,,,,,,
Bayern,Regensburg,PV,None,Allgemein,0.6,15,100,0,,,,,,,,
Bayern,Regensburg,PV,None,Allgemein,15,inf,0,1500,,,,,,,,
Bayern,Erlangen,PV,None,Allgemein,0,0.6,500,0,,,,,,,,
Bayern,Erlangen,PV,None,Allgemein,0.6,1,0,0,,,,,,,,
Bayern,Erlangen,PV,None,Allgemein,1,30,150,0,,,,,,,,
Bayern,Erlangen,PV,None,Allgemein,30,100,75,4500,,,,,,,,
Bayern,Erlangen,PV,None,Allgemein,100,inf,0,9750,,,,,,,,
Bayern,Erlangen,Battery,None,Allgemein,0,7,150,0,,,,,,,,
Bayern,Erlangen,Battery,None,Allgemein,7,inf,0,1050,,,,,,,,
Bayern,Erlangen,SolarThermalCollector,None,Allgemein,,,,,,,,,0,14,70,0
Bayern,Erlangen,SolarThermalCollector,None,Allgemein,,,,,,,,,14,inf,0,980
Bayern,Erlangen,SolarThermalCollectorFlatPlate,None,Allgemein,,,,,,,,,0,14,70,0
Bayern,Erlangen,SolarThermalCollectorFlatPlate,None,Allgemein,,,,,,,,,14,inf,0,980
Bayern,Erlangen,SolarThermalCollectorTube,None,Allgemein,,,,,,,,,0,14,70,0
Bayern,Erlangen,SolarThermalCollectorTube,None,Allgemein,,,,,,,,,14,inf,0,980
Bayern,Erlangen,HeatPumpAirWater,None,Allgemein,,,,,0,5000,0.2,0,,,,
Bayern,Erlangen,HeatPumpAirWater,None,Allgemein,,,,,5000,inf,0,1000,,,,
Bayern,Erlangen,HeatPumpBrineWater,None,Allgemein,,,,,0,35000,0.2,0,,,,
Bayern,Erlangen,HeatPumpBrineWater,None,Allgemein,,,,,35000,inf,0,7000,,,,
Bayern,Wuerzburg,PV,None,Allgemein,0,0.6,0,200,,,,,,,,
Bayern,Wuerzburg,PV,None,Allgemein,0.6,10,150,0,,,,,,,,
Bayern,Wuerzburg,PV,None,Allgemein,10,inf,0,1500,,,,,,,,
Bayern,Schweinfurt,PV,None,Allgemein,0,10,100,0,,,,,,,,
Bayern,Schweinfurt,PV,None,Allgemein,10,inf,0,1000,,,,,,,,
Bayern,Schweinfurt,Battery,None,Allgemein,0,3,0,0,,,,,,,,
Bayern,Schweinfurt,Battery,None,Allgemein,3,7,100,0,,,,,,,,
Bayern,Schweinfurt,Battery,None,Allgemein,7,inf,0,1000,,,,,,,,
Bayern,Fuerth,CHP,None,Allgemein,0,inf,0,1000,,,,,,,,
Bayern,Fuerth,SolarThermalCollector,None,Allgemein,,,,,,,,,0,inf,50,0
Bayern,Fuerth,SolarThermalCollectorFlatPlate,None,Allgemein,,,,,,,,,0,inf,50,0
Bayern,Fuerth,SolarThermalCollectorTube,None,Allgemein,,,,,,,,,0,inf,50,0
Bayern,Fuerth,PV,None,Allgemein,0,0.6,0,100,,,,,,,,
Bayern,Fuerth,PV,None,Allgemein,0.6,30,50,0,,,,,,,,
Bayern,Fuerth,PV,None,Allgemein,30,inf,0,1500,,,,,,,,
Bayern,Fuerth,Battery,None,Allgemein,0,inf,0,500,,,,,,,,
Bayern,Fuerth,HeatPump,None,Allgemein,0,inf,0,1000,,,,,,,,
Bayern,Fuerth,HeatPumpAirWater,None,Allgemein,0,inf,0,1000,,,,,,,,
Bayern,Fuerth,HeatPumpBrineWater,None,Allgemein,0,inf,0,1000,,,,,,,,
Bayern,Coburg,PV,None,Allgemein,,,,,0,44444.44444,0.45,0,,,,
